Variant,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,peak_power_mean,peak_power_std,cycle_cost_mean,cycle_cost_std,self_consumption_mean,self_consumption_std,energy_cost_mean,energy_cost_std,violations_mean,violations_std,inference_time_ms_mean,inference_time_ms_std,parameters_M_mean,parameters_M_std,training_time_min_mean,training_time_min_std,lang_gap_mean,lang_gap_std,vision_gap_mean,vision_gap_std,zero_vision_gap_mean,zero_vision_gap_std
Arch-BaseOnly-MobileNet,8.079529762268066,0.0,2.6864230632781982,0.0,2.842451333999634,0.0,2.7644999027252197,0.0,11.057999610900879,0.0,0.0,0.0,1.0925128206968306,0.0,0.1083713248372078,0.0,0.11367849954780902,0.005337149995299546,1.258176,0.0,0.0,0.0,,,,,,
Arch-Full-MobileNet,0.3922313153743744,0.011133110951311566,0.4928020437558492,0.008209090687616763,0.62624192237854,0.008861883621229461,0.14959127455949783,0.027808777869012993,0.5773653189341227,0.11196112389308194,0.14853333433469137,0.02194022329209314,0.04658230413285889,0.007475370556077766,0.0,0.0,0.4901872379961532,0.011463330218698317,4.439234,0.0,13.49858918984731,4.073610537167397,-0.926882137854894,0.025266081727343386,-1.1106332143147787e-05,2.8051036535406786e-05,-5.304813385009766e-06,1.0291255874708476e-05
Arch-MLPFusion-MobileNet,0.38317951560020447,0.000950618647199066,0.48561373353004456,0.0018400178924588108,0.6190146406491598,0.0007678586872262239,0.12272173414627711,0.02173442014032309,0.44817012548446655,0.07634670298066473,0.10513333231210709,0.030080114687206887,0.0382186671054146,0.006275599881482039,0.0,0.0,0.4529440999848435,0.014074203194570853,1.4642729999999997,0.0,15.671701584921943,4.525836964036375,-0.9345961709817251,0.034301360165729086,-3.0110279719034832e-05,7.638384840202973e-05,-6.431341171264648e-05,0.0001017728495699177
Arch-NoResidual-MobileNet,0.3829384744167328,0.00011823415907067127,0.48510072628657025,0.0001000371512195413,0.6188202102979025,9.553613741126069e-05,0.11989568422238032,0.0008430228565867097,0.4481726388136546,0.0025111555006536597,0.0,0.0,0.039222769181181984,0.00023610636572908816,0.0,0.0,0.489837676605455,0.0032074659542661818,4.439234,0.0,15.207331244150799,3.2625822006829215,-0.007944424947102865,0.0003758922836109247,2.761681874593099e-06,6.996969253309881e-06,8.304913838704428e-06,9.301014683262543e-06
Backbone-Convnext,0.38486596941947937,0.0018824636011426353,0.48720953861872357,0.002090303597546503,0.6203744212786356,0.0015167395752722136,0.1310210128625234,0.018040409304586932,0.5006259183088938,0.07090334422453612,0.16140000522136688,0.0,0.042120561958352724,0.006145172188799739,0.0,0.0,1.2821436435121545,0.001882291920450626,19.36349,0.0,23.998725696404776,6.126015921162644,-0.9328581392765045,0.009978555706324138,-2.5232632954915366e-06,1.425016465486529e-05,-1.5636285146077473e-05,2.4895561068082292e-05
Backbone-Mobilenet,0.38292527198791504,0.00026672028109309457,0.4849931001663208,0.0006985870107470693,0.6188095211982727,0.00021548749270678316,0.10857163369655609,0.010506106769400392,0.4091896017392476,0.047761831872637016,0.07966666917006175,0.07078314535648075,0.03469771825354546,0.003496874831475582,0.0,0.0,0.4950715167876727,0.0039028327774966037,4.439234,0.0,15.563692057132721,4.5847028688323865,-0.8926120599110922,0.016519736691063606,5.592902501424153e-06,2.2602666282343444e-05,-7.917483647664389e-06,2.9221983824631475e-06
Backbone-Resnet,0.38348037004470825,0.00043341551773440926,0.4857417543729146,0.0006505153673381298,0.6192578673362732,0.00034992874740336533,0.1200368379553159,0.009399196278595498,0.4555949767430623,0.0340510925101043,0.16140000522136688,0.0,0.03860582978576422,0.0024430473661326397,0.0,0.0,0.8229188831606664,0.005006305112931575,14.255266,0.0,32.57746647596359,11.24239393286645,-0.9406983653704325,0.008764004512345361,-1.8656253814697266e-05,2.2269893834940335e-05,-1.233816146850586e-05,2.3154064683764132e-05
Backbone-Simclr,0.3834088643391927,0.0004695239399060407,0.4855794509251912,0.000497654539140827,0.6192001104354858,0.00037918135062793703,0.11784559239943822,0.0045619706256550775,0.4467757244904836,0.02143639129690454,0.12053333719571431,0.07078314535648075,0.03773299401141703,0.0017282271134602563,0.0,0.0,0.7880960113439316,0.0016434009952365064,14.928802,0.0,29.34705440070894,5.602109463261052,-0.9289131164550781,0.008150466237655188,-1.3341506322224935e-05,7.076237052763792e-06,-1.5447537104288738e-05,8.525982092487075e-06
Backbone-Swin,0.38538577159245807,0.0024063389803135795,0.48783057928085327,0.0029595533165531996,0.6207924485206604,0.0019388308604448012,0.1328080395857493,0.024356648947645457,0.5090677340825399,0.10639184814088351,0.07966666917006175,0.07078314535648075,0.04351216362242897,0.009670945377432157,0.0,0.0,1.2360147200094198,0.007189388300615424,19.26101,0.0,24.559103182951606,6.733556665407515,-0.905562182267507,0.003928199657352641,-9.934107462565104e-09,7.502928260251918e-06,6.7551930745442706e-06,9.089968891265574e-06
Backbone-Tinycnn,0.3846261302630107,0.0013018521687898888,0.48724497358004254,0.0016346173026515758,0.6201817393302917,0.0010493748918862353,0.13159289211034775,0.01600347843920627,0.5049779812494913,0.05879640546480876,0.15800000230471292,0.005888977797527016,0.04212703062296532,0.005007629343987183,0.0,0.0,0.2978719660988873,0.005026648235074199,4.167362,0.0,14.076611563894483,6.880577598266898,-0.9394249320030212,0.017854526933097425,3.1391779581705728e-06,2.1878484137282025e-05,-1.9470850626627603e-06,2.007806000463704e-05
